source,kanji,reading
JMDict,銀紙鯵,ギンガメアジ
JMDict,銀亀鯵,ギンガメアジ
JMDict,銀河目鯵,ギンガメアジ
JMDict,銀紙鯵,ぎんがめあじ
JMDict,大法螺ふき,おおぼらふき
JMDict,大法螺吹き,おおぼらふき
JMDict,柾,マサキ
JMDict,正木,マサキ
JMDict,胡麻紋殻,ゴマモンガラ
JMDict,胡麻笛鯛,ゴマフエダイ
JMDict,極楽鯊,ゴクラクハゼ
JMDict,嘲笑う,せせらわらう
JMDict,剽軽る,ひょうげる
JMDict,小口バス,コクチバス
JMDict,高麗親睨,コウライオヤニラミ
JMDict,高麗親睨,こうらいおやにらみ
JMDict,源五郎鮒,ゲンゴロウブナ
JMDict,しょい込む,せおいこむ
JMDict,化粧河豚,ケショウフグ
JMDict,高砂,タカサゴ
JMDict,高砂,たかさご
JMDict,匂い玉,くさいだま
JMDict,匂玉,くさいだま
JMDict,臭玉,くさいだま
JMDict,鞍掛紋殻,クラカケモンガラ
JMDict,草河豚,クサフグ
JMDict,権瑞,ゴンズイ
JMDict,海菴,ハイレン
JMDict,海菴,はいれん
JMDict,甲冑魚,かっちゅうぎょ
JMDict,疎抜く,うろぬく
JMDict,権萃,ゴンズイ
JMDict,ツバキ油,つばきあぶら
JMDict,椿油,ツバキあぶら
JMDict,つばき油,ツバキあぶら
JMDict,道外方,どうけがた
JMDict,茨城キリスト教大学,いばらきキリストきょうだいがく
JMDict,瓶底メガネ,ビンぞこメガネ
JMDict,瓶底眼鏡,ビンぞこメガネ
JMDict,瓶底メガネ,びんぞこめがね
JMDict,ビン底メガネ,びんぞこめがね
JMDict,瓶底眼鏡,びんぞこメガネ
JMDict,ビン底メガネ,びんぞこメガネ
JMDict,茨城県立医療大学,いばらきけんりついりょうだいがく
JMDict,卵天狗茸,タマゴテングタケ
JMDict,茨城県立図書館,いばらきけんりつとしょかん
JMDict,実梅,うめのみ
JMDict,亀甲縛り,きっこうしばり
JMDict,梅の実,みうめ
JMDict,八重山青木,ヤエヤマアオキ
JMDict,燻ぶる,いぶる
JMDict,茨城女子短大,いばらきじょしたんだい
JMDict,白丁花,ハクチョウゲ
JMDict,茨城大学,いばらぎだいがく
JMDict,乙女百合,オトメユリ
JMDict,印旛養護学校,いんばようごがっこう
JMDict,生きてゆく,いきていく
JMDict,生きていく,いきてゆく
JMDict,引っぱがす,ひっぺがす
JMDict,引っぺがす,ひっぱがす
JMDict,榕樹,ガジュマル
JMDict,豚ぷん,とんふん
JMDict,豚ふん,とんぷん
JMDict,榕樹,がじゅまる
JMDict,水温む,みずぬるむ
JMDict,シアン基,シアノき
JMDict,塞の神,どうそじん
JMDict,シアノ基,シアンき
JMDict,障の神,どうそじん
JMDict,フサイン・マクマホン協定,フサインマクマホンきょうてい
JMDict,フセイン・マクマホン協定,フサインマクマホンきょうてい
JMDict,フサイン・マクマホン協定,フセインマクマホンきょうてい
JMDict,塞の神,どうそしん
JMDict,障の神,どうそしん
JMDict,フセイン・マクマホン協定,フセインマクマホンきょうてい
JMDict,漫画肉,マンガにく
JMDict,まんが肉,マンガにく
JMDict,マンガ肉,まんがにく
JMDict,月見草,ツキミソウ
JMDict,提灯鮟鱇,チョウチンアンコウ
JMDict,提灯鮟鱇,ちょうちんあんこう
JMDict,酷がある,コクがある
JMDict,濃がある,コクがある
JMDict,黒旗魚,クロカジキ
JMDict,黒梶木,クロカジキ
JMDict,月夜茸,ツキヨタケ
JMDict,上海,シャンハイ
JMDict,頸,クビ
JMDict,頚,クビ
JMDict,馘,クビ
JMDict,首,クビ
JMDict,濃のある,コクのある
JMDict,酷のある,コクのある
JMDict,逆鯰,サカサナマズ
JMDict,逆さ鯰,サカサナマズ
